,Integration ID,Integration Connect Partner? (Yes/No),Percent of Monthly Cancellation Total,Percent of EOM MRR Total,Total Revenue,Total Cancellation Dollars,Min MRR,Is Revenue Greater,Min Installations,Max Installations,Installation Growth,Integration Segment
0,1.0,No,-0.0,0.011370537698483273,111937.0,-300.0,17791.0,False,13.0,13.0,0.0,1 in the Number
1,2.0,No,-0.0,0.0009544045912062342,10368.0,0.0,1800.0,False,3.0,2.0,-0.3333333333333333,1 in the Number
2,3.0,No,-0.0,0.002235692754900604,23072.0,0.0,3814.0,False,1.0,1.0,0.0,1 in the Number
3,4.0,No,-0.0,0.0022416577835956426,11258.0,0.0,3750.0,False,1.0,2.0,1.0,1 in the Number
4,5.0,No,-0.0,0.0,0.0,0.0,0.0,False,2.0,3.0,0.5,3.0
5,6.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
6,7.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,4.0,3.0,4.0
7,8.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
8,9.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
9,10.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
10,11.0,No,-0.0,0.0015252578373214632,5432.0,0.0,575.0,False,1.0,2.0,1.0,1 in the Number
11,12.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
12,13.0,No,-0.0,0.0008589641320856108,1440.0,0.0,0.0,False,1.0,3.0,2.0,1 in the Number
13,14.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
14,15.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
15,16.0,No,-0.0,0.0009925807748544836,3328.0,0.0,1664.0,False,3.0,3.0,0.0,1 in the Number
16,17.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
17,18.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
18,19.0,Yes,-0.0,0.0025912084651249258,23753.0,0.0,200.0,False,1.0,5.0,4.0,1 in the Number
19,20.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
20,21.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
21,22.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
22,23.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
23,24.0,No,-0.0,0.001501994225410811,12276.0,0.0,1080.0,False,1.0,1.0,0.0,1 in the Number
24,25.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
25,26.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
26,27.0,No,-0.0,0.0,120.0,-40.0,40.0,False,1.0,3.0,2.0,1 in the Number
27,28.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
28,29.0,No,-0.0,0.0,0.0,0.0,0.0,False,3.0,3.0,0.0,One and Done
29,30.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
30,31.0,No,-0.0,0.0,0.0,0.0,0.0,False,2.0,2.0,0.0,One and Done
31,32.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
32,33.0,No,-0.0,0.00035491920735481836,1527.0,0.0,178.0,False,1.0,1.0,0.0,1 in the Number
33,34.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
34,35.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
35,36.0,No,-0.0,0.0010098793580700966,3386.0,0.0,1693.0,False,1.0,1.0,0.0,1 in the Number
36,37.0,No,-0.0,5.965028695038964e-05,600.0,0.0,100.0,False,1.0,1.0,0.0,1 in the Number
37,38.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
38,39.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
39,40.0,No,-0.0,0.0011930057390077927,2000.0,0.0,2000.0,False,1.0,1.0,0.0,1 in the Number
40,41.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
41,42.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
42,43.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
43,44.0,No,-0.0,0.0005994853838514159,5970.0,0.0,985.0,False,1.0,1.0,0.0,1 in the Number
44,45.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
45,46.0,No,-0.0,0.00028154935440583906,1353.0,0.0,94.0,False,1.0,1.0,0.0,1 in the Number
46,47.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
47,48.0,No,-0.0,0.0,0.0,0.0,0.0,False,4.0,4.0,0.0,One and Done
48,49.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
49,50.0,No,-0.0,0.0,8000.0,-600.0,3700.0,False,1.0,1.0,0.0,1 in the Number
50,51.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
51,52.0,No,-0.0,0.00030540946918599494,1708.0,0.0,171.0,False,1.0,1.0,0.0,1 in the Number
52,53.0,No,-0.0,0.0,0.0,0.0,0.0,False,1.0,1.0,0.0,One and Done
53,54.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
54,55.0,No,-0.0,0.0,80.0,-40.0,40.0,False,1.0,1.0,0.0,1 in the Number
55,56.0,No,-0.0,0.005144240746601603,25872.0,0.0,8624.0,False,1.0,1.0,0.0,1 in the Number
56,57.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
57,58.0,No,-0.0,0.0,0.0,0.0,0.0,False,2.0,2.0,0.0,One and Done
58,59.0,No,-0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,,Not in Use
